Country,Year,PPP_T,PPP_I,GB_T,GB_I,MIVA,DCM,GFCFM,MFDI,treated,control,country_num,ln_PPP_T,ln_PPP_I,ln_GB_T,ln_GB_I,ln_MIVA,ln_DCM,ln_GFCFM,ln_MFDI
China,2018,80500,40250,95400,5606,0.273,0.476,3625341,141000,1,0,5,11.29601288,10.60286522,11.46583366,8.631592751,-1.29462719,-0.740238786,15.10345936,11.85651493
China,2019,85200,42600,131900,6514,0.269,0.457,3786214,143000,1,0,5,11.3527565,10.65960979,11.78979969,8.781708717,-1.309333324,-0.780886114,15.14687729,11.87059975
China,2020,90000,45000,147500,8667,0.266,0.438,3449782,147000,1,0,5,11.40756512,10.71441746,11.90158367,9.067277908,-1.320506573,-0.823255837,15.05382156,11.89818764
China,2021,94900,47450,180300,5135,0.263,0.418,3733446,154000,1,0,5,11.46057892,10.76743221,12.10237789,8.54383564,-1.331806183,-0.869884372,15.13284206,11.94470787
China,2022,99800,49900,124400,8562,0.277,0.399,4034987,163000,1,0,5,11.51092339,10.81777668,11.73125744,9.055088997,-1.280134201,-0.91629076,15.21051407,12.00150585
Ethiopia,2015,140,42,0,0,0.145,0.102,2063,923,1,0,6,4.941649437,3.73769331,-6.907755375,-6.907755375,-1.924148679,-2.273026228,7.631917,6.82763052
Ethiopia,2016,156,46.8,0,0,0.153,0.113,2282,1142,1,0,6,5.049862385,3.845904589,-6.907755375,-6.907755375,-1.870802641,-2.17155695,7.732808113,7.040537357
Ethiopia,2017,172,51.6,0,0,0.162,0.122,2523,1287,1,0,6,5.147500515,3.94354105,-6.907755375,-6.907755375,-1.814005136,-2.095571041,7.833204269,7.160069942
Ethiopia,2018,188,56.4,0,0,0.171,0.13,2785,1412,1,0,6,5.236447334,4.032486916,-6.907755375,-6.907755375,-1.76026082,-2.032557964,7.932003498,7.252763271
Ethiopia,2019,204,61.2,0,0,0.18,0.137,3059,1532,1,0,6,5.318124771,4.114163399,-6.907755375,-6.907755375,-1.709258199,-1.980501652,8.02584362,7.334330082
Ethiopia,2020,220,66,0,0,0.189,0.132,2672,1243,1,0,6,5.393631935,4.189670086,-6.907755375,-6.907755375,-1.660731196,-2.017406225,7.890583038,7.125283718
Ethiopia,2021,236,70.8,1000,0,0.198,0.128,2946,1382,1,0,6,5.463836193,4.259872913,6.907756329,-6.907755375,-1.614450455,-2.047942877,7.988204002,7.231287956
Ethiopia,2022,252,75.6,0,0,0.207,0.124,3228,1512,1,0,6,5.52943325,4.325469494,-6.907755375,-6.907755375,-1.570217252,-2.079441547,8.079618454,7.321189404
France,2015,25000,7500,2533,1469,0.103,0.449,225600,29300,1,0,7,10.12663078,8.922657967,7.83716011,7.292337894,-2.263364315,-0.79850769,12.32651901,10.28534317
France,2016,28000,8400,4591,3572,0.102,0.427,224200,25400,1,0,7,10.23995972,9.0359869,8.431853294,8.1808815,-2.273026228,-0.848632097,12.32029343,10.14250469
France,2017,31000,9300,3859,2062,0.101,0.411,222300,22900,1,0,7,10.34174252,9.137769699,8.258163452,7.631432056,-2.282782555,-0.886731923,12.31178284,10.03889179
France,2018,34000,10200,7086,6059,0.099,0.395,219800,20200,1,0,7,10.43411541,9.230143547,8.865876198,8.709300041,-2.302585125,-0.926341057,12.30047321,9.913437843
France,2019,37000,11100,10896,3887,0.097,0.38,214400,18400,1,0,7,10.51867294,9.314700127,9.296151161,8.265393257,-2.322787762,-0.964955926,12.27559853,9.820105553
France,2020,40000,12000,15470,6681,0.089,0.366,195600,14100,1,0,7,10.59663486,9.392662048,9.646657944,8.807023048,-2.407945633,-1.002393484,12.1838274,9.553930283
France,2021,43000,12900,19521,6450,0.093,0.352,211400,16300,1,0,7,10.6689558,9.464982986,9.879245758,8.771835327,-2.364460468,-1.041287184,12.26150703,9.69892025
France,2022,46000,13800,10329,5455,0.093215,0.338,224200,18100,1,0,7,10.73639679,9.532423973,9.242711067,8.604288101,-2.362175941,-1.081755161,12.32029343,9.803667068
Germany,2015,27000,10800,5310,4837,0.195,0.238,225600,57200,1,0,8,10.2035923,9.287301064,8.577347755,8.484049797,-1.629640579,-1.431291699,12.32651901,10.95430946
Germany,2016,29000,11600,8802,2730,0.194,0.222,224200,56400,1,0,8,10.27505112,9.358760834,9.082734108,7.9120574,-1.634755731,-1.500583529,12.32029343,10.94022465
Germany,2017,32000,12800,9855,3558,0.193,0.209,222300,61900,1,0,8,10.37349129,9.457201004,9.195734024,8.176954269,-1.639897108,-1.560647726,12.31178284,11.0332756
Germany,2018,35000,14000,13540,4683,0.192,0.194,219800,60200,1,0,8,10.46310329,9.546813011,9.513403893,8.451694489,-1.645065069,-1.634755731,12.30047321,11.00542736
Germany,2019,38000,15200,24559,12895,0.191,0.18,214400,55200,1,0,8,10.54534149,9.629051208,10.10883331,9.464594841,-1.650259852,-1.709258199,12.27559853,10.91871834
Germany,2020,41000,16400,39774,16178,0.185,0.167,195600,49200,1,0,8,10.6213274,9.705037117,10.59096909,9.691407204,-1.682008624,-1.783791304,12.1838274,10.80364895
Germany,2021,44000,17600,65551,25581,0.185,0.155,211400,53100,1,0,8,10.69194508,9.775653839,11.0905838,10.1496048,-1.682008624,-1.857899308,12.26150703,10.8799324
Germany,2022,47000,18800,45114,19513,0.1845,0.143,224200,55700,1,0,8,10.7579031,9.841611862,10.71694756,9.878836632,-1.68470037,-1.937942028,12.32029343,10.92773533
Ghana,2015,600,180,0,0,0.164,0.122,1547,241,1,0,9,6.396931171,5.19296217,-6.907755375,-6.907755375,-1.801809788,-2.095571041,7.344073296,5.484801292
Ghana,2016,700,210,0,0,0.151,0.116,1682,289,1,0,9,6.551081657,5.347112179,-6.907755375,-6.907755375,-1.883874774,-2.145581245,7.42773962,5.666429996
Ghana,2017,800,240,0,0,0.135,0.112,1834,342,1,0,9,6.684612751,5.480643272,-6.907755375,-6.907755375,-1.995100379,-2.18036747,7.514255047,5.834813595
Ghana,2018,900,270,0,0,0.125,0.11,1997,387,1,0,9,6.802395821,5.598425865,-6.907755375,-6.907755375,-2.07147336,-2.198225021,7.599401951,5.958427429
Ghana,2019,1000,300,0,0,0.114,0.106,2169,423,1,0,9,6.907756329,5.703785896,-6.907755375,-6.907755375,-2.1628232,-2.234926462,7.682022095,6.047374725
Ghana,2020,1100,330,0,0,0.105,0.101,1872,294,1,0,9,7.00306654,5.799095631,-6.907755375,-6.907755375,-2.244316101,-2.282782555,7.534763336,5.68358326
Ghana,2021,1200,360,750,0,0.102,0.098,2038,325,1,0,9,7.090077877,5.886106968,6.620074749,-6.907755375,-2.273026228,-2.312635422,7.619724751,5.783828259
